Title,Label
PM Modi to cruise through Ganga in Kanpur to review ÔNamami GangeÕ project,1
"Bharat Bandh today: Shetkari Sanghatana says wonÕt take part, will oppose any move to roll back laws",1
Fact Check: Don't get panicked by viral post about SBI's contactless card.Fact Check: Hoax WhatsApp Forward Says 'Argentina Doing It' Video Hacks Your Phone Within 10 Seconds,0
Farooq Abdullah in ED net; central agency attaches properties worth crores belonging to former J&K CM,1
Venkaiah Naidu advises other nations to refrain from commenting on IndiaÛªs internal matters,1
"Fact Check: No, a cameraman didnât cry after footballer Andre Gomes broke his ankle",0
40 healthcare workers from AIIMS Delhi gastro department in self-quarantine,1
Fact Check: DonÕt believe this viral post about vaccine for COVID-19,0
Fact Check: CM Uddhav Thackeray's Old Birthday Celebration Peddled As Recent.Fact Check: Amuls Rangeela Makhan ad from 1995 goes viral after Kanganas remarks about Urmila,0
1486 stranded Himachalis arrive by train from Goa,1
BJP releases manifesto in Urdu for DDC polls in Kashmir,1
Why BJPï¿½s Amritsar candidate Hardeep Singh Puri should worry about his ï¿½outsiderï¿½ tag,1
"For many in Karnataka BJP, new chief Nalin Kateel isnï¿½t popular or influential enough",1
"Vasundhara Raje, son Dushyant in isolation after attending Coronavirus +ve Kanika Kapoors party",1
Fake News About Pakistan's Flag Waved In India & Other News You Almost ...,0
"Shah to meet Kejriwal, L-G over Delhi Covid-19 crisis",1
"Congress takes swipe at Delhi govt with posts of flooded house & bus, here are the facts.RJD posts Karachi railway track picture to blunt BJPs claims of cleaning up Ganga",0
"Union Minister, Telangana CM spat over COVID-19 package",1
BJP MLA's relative shot dead in Ghaziabad,1
TTD slams reports about laddu-price hike.Fact check: Postcard News fakes data to show more sports medals during NDA rule than UPA,0
"Congress embarrasses itself yet again, split wide open on Modi govtï¿½s move on Article 370",1
"ÔWas 20-20 so far, test match will start nowÕ: Sachin Pilot loyalist and sacked minister warns CM Gehlot",1
"Due to effective steps by PM, able to avert major Covid disaster: Hardeep Singh Puri",1
Two policemen attacked after mob of 200 creates ruckus at police station in Bareilly,1
"Lalu Yadav gets bail but will stay in jail, wonÕt campaign in elections for first time in 40 years",1
Blast in SasaramÕs mosque claiming more than 100 bombs recovered is...,0
Rahul Gandhi says demonetisation intended to help Modiï¿½s crony capitalist friends,1
Butterflies take to wings in Bengaluru park on Rajyotsava,1
Centre hails HaryanaÛªs fast-paced implementation of Jal Jeevan Mission,1
"Fact Check: No, 'RSS Goons' Did Not Attack Hindu Woman For Helping Kashmiri Girl During Ramadan",0
Fact Check: 2020's blue moon on Halloween is not occurring after 76 years,0
CAG report pulls up Nitish Kumar govt for careless utilization of funds,1
Drunk womanÕs video viral as ÒRohingya Muslim gang on the prowl kidnapping childrenÓ,0
Storage of PfizerÕs COVID vaccine challenge for most nations; India examining possibilities: Govt,1
Former Bihar DGP Gupteshwar Pandey joins Nitish KumarÕs JD(U) ahead of elections,1
"Governor Malik jumped the gun in dissolving J&K assembly, its advantage Congress-NC",1
Fact Check: No! Sachin Pilot Did NOT Appeal To President To...,0
Pentagon okays sale of spares for IndiaÕs Super Hercules fleet,1
ED freezes Rs 46.96 cr of firms running Chinese betting apps,1
Ist consignment of Covid vaccine reaches Ukhand,1
Fact Check: Old Picture Of PM Modi With Netajis Associate Shared...,0
UÛªkhand BJP MLA faces allegation of Û÷sexually exploitingÛª a woman,1
"No lockdown in Bengaluru for now, says Karnataka government",1
Video from Shanghai made viral as being fromWuhan showing quarantined residents abusing each other..Janam TV Peddles Fake News Of Trupti Desai Converting To Christianity,0
Answer to Modiï¿½s Rajiv Gandhi challenge to Congress lies in Punjabï¿½s 1985 elections,1
Tunnel used by four Jaish men killed in Nagrota found,1
Lockdown on Ram Mandir bhoomi pujan day but not Eid ï¿½ BJP says Mamata govt ï¿½punishingï¿½ Hindus,1
Did Three Nobel Winners Say Cancer Can Be Cured Without Medicine?,0
"No, govt is not recording your calls, monitoring social media platforms;...",0
Do remember you also have family & children  Uddhav Thackeray lashes out at opposition,1
"IndiaÛªs strategic rail projects with Japan, Iran in trouble",1
Behind BJPï¿½s grand Hyderabad campaign is a 2017 plan by Amit Shah,1
"Exit polls predict surge for Modiï¿½s NDA, yet another drubbing for Congress",1
"Sharad Yadav may follow Manjhi, return to JD(U)",1
"Northeast riots: Delhi Police summon Rahul Roy, Saba Dewan",1
ESIC issues guidelines against Covid-19,1
Lotus symbol on passports part of enhanced security features: Govt,1
"Farmers from Rajasthan, Haryana, to move towards Delhi on Sunday",1
"Rajnath Says Ayodhya Verdict 'Historic', Should Be Accepted With Equanimity",1
Finance Minister Nirmala Sitharaman didnt say Indian rupee is falling due...,0
Decision of fee hike for MTech in IITs deferred by HRD Ministry until next meeting,1
"If India can resolve boundary issue with Bangladesh, why not Kathmandu: Nepal Foreign Minister",1
No! PM Modi did not ask a child to say ÔRahul...,0
Debunked Video From Madhya Pradesh Revived As Suspect In Jammu &.... Video Of Bohra Muslims' Rally In Bangalore Passed Off As Jammu &...,0
Fact-check: Did Tamil Nadu Dy CM O.Panneerselvam bow before PM Modi?,0
Modi calls Rahuls hug an attempt to dislodge a poor womans son,1
"Section 144 order stokes confusion in Mumbai amid COVID-19 scare, but its not for public.HoaXposed: Flight for ITBP troops was a one-time-affair, not Modi govt achievement",0
"Setback to dissenters as Congress CMs, state units rally behind Gandhis",1
"PM Modi announces Rs 1,000-crore Startup India Seed Fund to help entrepreneurs",1
BJP's victory in local body polls in Rajasthan is phenomenal: Prakash Javadekar,0
Twist in Bihar politics: BJP sees huge potentials in Tejashwi Yadav as Nitish talks tough,1
Mayawati regrets hatred between Bajrang Bali & Ali as fight over Gods deepens,1
"Fact Check: Video of overburdened, unhygienic hospital in Mumbai shared as...",0
Old video falsely viral as sadhus take out procession in Maharashtra after Palghar lynching,0
US proposal on H-1B visas may hit Indians,1
Fact check: Audio clip stating 59 positive coronavirus cases in Nagpur is fake.Fact Check: Amit Shah Tests Positive For Coronavirus?,0
Old video from Syria viral as Indian helicopter shot down by Nepal,0
"Fact Check: Boycott China t-shirts, caps not made in China.Fact Check: This man in orange T-shirt has nothing to do with West Bengal violence",0
Supreme Court: Stay orders by lower courts expire in 6 months,1
"Maharashtra: Imported onions bring down prices before Diwali, another rise likely before arrival of late kharif",1
"Religious and cultural life of India, Asia deeply influenced by Mahabharata and Ramayana: Vice President Naidu",1
"Karnataka: With JDS help, BJP manages Council nod to land reforms Bill",1
Maharashtra: Govt caps rates for HRCT test,1
100 in Lucknow jail fall sick after getting schizophrenia medicines,1
"OpIndia wrongly accuses Mumbai Police, gets rapped for poor research",0
Britain has to solve its heating problem to meet its ambitious climate goals,1
Modi to address Bloomberg New Economy Forum,1
DonÕt believe this FAKE picture of SP leader Azam Khan; hereÕs...,0
RSS will decide if Modi comes back to power or not,1
Fact Check: Video showing Indiaâs failed missile test is from Russia,0
"New worry as states with fewer cases see Covid spurt, big jump in Rajasthan",1
No! PM Modi hasnÕt made this statement; hereÕs the fact check!,0
"Ludhiana Industrialists appeal to farmer unions: Gherao politicians, but let the trains run",1
